title,image_url,tags,release_date,review_score,review_counts,original_price,sale_price,currency,discount_pct
PEAK,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/3527290/31bac6b2eccf09b368f5e95ce510bae2baf3cfcd/header.jpg?t=1750093258,"['Physics', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Exploration']",2025-06-16,Very Positive,8.445,99.0,47.0,$,52.525
情感反诈模拟器,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/3350200/d2351dd420c87970ff90fdad0681bed609754c4c/header.jpg?t=1750518578,"['RPG', 'Story Rich', 'Interactive Fiction', 'Dating Sim', 'Strategy']",2025-06-19,Overwhelmingly Positive,15.4,79.0,9.0,$,88.608
Dead by Daylight,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/381210/73b856c3c15674f614cf81a6a98aca08412ca944/header_alt_assets_1.jpg?t=1750346018,"['Horror', 'Multiplayer', 'Survival Horror', 'Online Co-Op', 'Co-op']",2016-06-14,Mostly Positive,583.737,99.0,99.0,$,0.0
Black Myth: Wukong,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/2358720/header.jpg?t=1749182199,"['Mythology', 'Action RPG', 'Action', 'Souls-like', 'RPG']",2024-08-20,Overwhelmingly Positive,837.041,99.0,99.0,$,0.0
STAR WARS™ Battlefront™ II,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/1237950/header.jpg?t=1749220869,"['Multiplayer', 'Shooter', 'Space', 'Singleplayer', 'Third-Person Shooter']",2020-06-11,Very Positive,62.662,99.0,99.0,$,0.0
EA SPORTS FC™ 25,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/2669320/ec3fb7747fd8080ef53d7686e0d98c5abe1f51f1/header.jpg?t=1749120687,"['Sports', 'Football (Soccer)', 'Simulation', 'Controller', 'Multiplayer']",2024-09-27,Mixed,70.938,99.0,99.0,$,0.0
ARK: Survival Ascended,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/2399830/header.jpg?t=1750290390,"['Survival', 'Open World', 'Multiplayer', 'Dinosaurs', 'Building']",2023-10-26,Mixed,71.066,99.0,49.0,$,50.505
theHunter: Call of the Wild™,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/518790/b4fcb52c2e359b3e142501c4631b75a336aec0fe/header_alt_assets_17.jpg?t=1750150959,"['Hunting', 'Open World', 'Multiplayer', 'Nature', 'Relaxing']",2017-02-16,Very Positive,148.886,49.0,9.0,$,81.633
Victoria 3,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/529340/c70e15b48d424bca275f39061ecd164da362c1a7/header_alt_assets_4.jpg?t=1750352525,"['Grand Strategy', 'Economy', 'Historical', 'Political Sim', 'Strategy']",2022-10-25,Mixed,34.325,99.0,99.0,$,0.0
Kingdom Come: Deliverance II,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/1771300/header.jpg?t=1749563653,"['RPG', 'Medieval', 'Open World', 'Singleplayer', 'Realistic']",2025-02-04,Very Positive,77.659,99.0,99.0,$,0.0
It Takes Two,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/1426210/header.jpg?t=1749142249,"['Co-op', 'Multiplayer', 'Split Screen', 'Local Co-Op', 'Online Co-Op']",2021-03-26,Overwhelmingly Positive,182.212,99.0,99.0,$,0.0
NBA 2K25,https://shared.akamai.steamstatic.com//store_item_assets/steam/apps/2878980/header.jpg?t=1747407792,"['Sports', 'Basketball', 'Simulation', 'eSports', '3D']",2024-10-28,Mixed,23.875,99.0,99.0,$,0.0
